project_number,name,type,current_phase,description,location,district,schedule_begin_season,schedule_end_season,begin_year,end_year,recent_update,fund_source_1,fund_source_2,fund_source_3,fund_source_4,fund_source_5,fund_source_6,utility_type,project_webpage,notice_complete_date,project_manager,last_edited_date,gis_geometry_types,cost_usd,likely_active_transportation
CIP24-00004,Vista Way Overlay,Streets,Design,Project will address road damage due to SR 78 detour. The project includes a 2 inch grind and overlay of Vista Way from El Camino Real and College Blvd.,Vista Way from El Camino Real to College Blvd.,District 3,,,,,Project design is currently at 100%. Coordinating with Caltrans to receive authorization to proceed with construction.,Federal Highway Administration,Measure X,,,,,,,,lcardenas,2026-04-05,line;polygon,,False
CIP24-00009,Annual Road Repairs: Asphalt Overlay & Slurry Seal (FY23-24),Streets,Complete,Annual Roadway Repair for FY23-24 based on the approved Pavement Management Program (PMP). This project includes traffic calming measures as well.,City-wide,Multiple Districts,,,,,Public Works Agreement awarded to ATP Engineering Contractors in June of 2024. Roadway repairs began August of 2024.,,,,,,,,,2025-04-09,kcorbin,2026-04-05,line;polygon,,False
CIP24-00012,ADA Ramp Replacement Infill 24-25,Streets,Complete,This project includes the installation of ADA compliant pedestrain ramps and infill of sidewalk.,City-wide,Multiple Districts,,,,,Project construction is complete.,TransNet,,,,,,,,2025-03-20,kcorbin,2026-04-05,line;polygon,,True
CIP24-00014,Saratoga Street Driveway,Streets,Complete,"Re-construction of the driveway, sidewalk and curb & gutter along the frontage of 2418 and 2420 Saratoga Street.",2418 and 2420 Saratoga Street,District 1,FALL,WINTER,2024,2025,Construction is complete.,TransNet,,,,,,,,2025-02-24,lcardenas,2026-04-05,line;polygon,,True
CIP24-00015,Cassidy Street Pedestrian Bridge,Streets,Study,"The concrete bridge structure that spans Cassidy Street between Myers Street and Pacific Street was constructed in 1927, the same year as the concrete portion of the Oceanside Pier. The bridge was closed to vehicle traffic in response to pieces of the bridge separating and falling onto Cassidy Street. The bridge currently serves as a pedestrian only foot bridge and bicycle route.",Between Pacific Street and Myers Street,District 3,,,,,,TransNet,,,,,,,,,lcardenas,2026-04-05,point;polygon,,True
CIP24-00017,San Rafael Drive Sidewalk Infill,Streets,Complete,Sidewalk Improvements to be added along San Rafael Drive,Between San Rafael Drive and Sunset Drive,District 1,,,,,Project is complete.,TransNet,,,,,,,,2024-12-13,kcorbin,2026-04-05,line;polygon,,True
CIP25-00005,Mesa Dr. (HSIP) ADA Pedestrian Ramps,Streets,Complete,Project will upgrade the existing non-compliant pedestrian ramps at the Mesa Dr. and Avenida De La Plata,Mesa Dr. and Avenida De La Plata,District 4,SUMMER,FALL,2025,2025,Project is complete.,,,,,,,,,,emedina,2026-04-05,point;polygon,,True
CIP25-00007,485 Vandergrift Blvd (Marietas) Improvements,Streets,Complete,Project will remove and replace damaged sidewalk and driveway. ADA improvements will be included.,485 Vandergrift Blvd,District 2,,,,,"Project construction was completed on July 25, 2025",,,,,,,,,,emedina,2026-04-05,line;polygon,,True
CIP25-00015,Canyon/Landfill Bridge,Streets,Design,This project aims to fix the settlement of the approach slab at the Canyon Landfill Bridge.,N Canyon Drive & Eagles Xing,District 1,,,,,Project in planning and design. Funding to be determined.,,,,,,,,,,lcardenas,2026-04-05,line;polygon,,False
CIP25-00017,Oceanside Blvd & El Camino Real Barrier,Streets,Study,"The project will install a traffic safety barrier at the northeast corner of Oceanside Blvd and El Camino Real, south of the Quarry.","Northeast corner of Oceanside Blvd and El Camino Real, south of the Quarry.",,,,,,,,,,,,,,,,lcardenas,2026-04-05,point,,False
CIP16-00011,Coastal Rail Trail: Oceanside to Morse Street,Traffic,Design,This project provides for the design of the missing of the Coastal Rail Trail between Oceanside Blvd to Morse Street.,Along rail tracks from Oceanside Blvd to Morse Street,Multiple Districts,,,,,Project is currently at 60% design. Currently working towards getting a Coastal Development Permit.,Parks,,,,,,,,,emedina,2026-04-05,line;polygon,,True
CIP19-00019,College Boulevard Widening,Traffic,Design,"The project will widen College Blvd from Olive Drive to Old Grove Road and inlcudes bicycle and pedetrian improvements with a Class IV Cycle track, bicycle signals, separated pedestrian walkways, raised crosswalks, and landscaping.",College Boulevard between Waring Rd & Old Grove Rd,Multiple Districts,,,,,The project is in the design phase with 60% plans anticipated in Fall.,Federal Highway Administration,TransNet,,,,,,,,vvelasco,2026-04-05,line;polygon,,True
CIP20-00002,HSIP Traffic Signal Upgrades,Traffic,Complete,"The project provides traffic signal upgrades at various corridors including the installation audible pedestrian countdown signal heads, ADA compliant audible pedestrian pushbutton system, and upgrading traffic signal controllers at various locations.",Citywide,Multiple Districts,,SPRING,,2024,Construction is complete.,Federal Highway Administration,,,,,,,,2024-07-01,lcardenas,2026-04-05,point;polygon,,True
CIP22-00003,Laurel Elementary Safe Route to Schools ATP,Traffic,Complete,"The project provides street improvements along portions of Laurel Street, Holly Street and San Diego Street including the installation of high visibility crosswalks, flashing beacons, striping and signage, a traffic calming median, a traffic circle, a mini-roundabout, ADA ramps, new sidewalk, and curb extensions.",Intersection of Laurel Street and Holly Street,District 1,SUMMER,WINTER,2024,2024,Construction is complete.,SB-1,,,,,,,,,lcardenas,2026-04-05,line;polygon,,True
CIP22-00006,Coast Highway Corridor Design,Traffic,Design,"This project will create a ""Complete Street"" along a section of Coast Highway from Neptune Way, south to Oceanside Boulevard.",South Coast Highway from Neptune Way to Oceanside Boulevard.,District 1,SPRING,SUMMER,2023,2025,Currently at a 90% design level,TransNet,Thoroughfare-Signal,,,,,,https://www.ci.oceanside.ca.us/government/development-services/engineering/special-projects-news/coast-highway-corridor-design,,vvelasco,2026-04-05,line;polygon,,True
CIP22-00012,Three Traffic Signals,Traffic,Complete,The project provides for traffic signal modifications at three (3) locations. The locations are Coast Highway and Seagaze Drive; North River Road and Douglas Drive; Foussat Road and Oceanside Blvd.,Coast Highway and Seagaze Drive; North River Road and Douglas Drive; Foussat Road and Oceanside Blvd,Multiple Districts,,,2023,2024,Construction is complete.,Thoroughfare-Signal,,,,,,,,,lcardenas,2026-04-05,point;polygon,,False
CIP23-00005,Rancho Del Oro/Mesa Drive Traffic Signal,Traffic,Construction,"This project provides for the construction of a new traffic signalized intersection including the replacement of existing traffic signal poles, replace existing rigid conduit that is failing and construct new ADA ramps at this intersection.the construction of a new traffic signalized intersection including the replacement of existing traffic signal poles, replace existing rigid conduit that is failing and construct new ADA ramps at this intersection.",Intersection @ Mesa Dr & Rancho del Oro Dr,District 4,FALL,,2026,2027,Construction is set to begin by Fall 2026.,Thoroughfare-Signal,,,,,,,,,lcardenas,2026-04-05,point;polygon,,False
CIP23-00024,Carey Road/Canyon Drive Traffic Signal,Traffic,Design,"The project provides for the construction of a new traffic signalized intersection including the install of new traffic signal poles, conduit and ADA ramps at this intersection.",Carey Road and Canyon Drive Intersection,District 1,,,2026,2027,Construction is set to begin by December 2026.,,,,,,,,,,lcardenas,2026-04-05,point;polygon,,False
